datetime,price,bid,ask,realized_vol,predicted_vol,vol_surprise,momentum,signal,spread_bps
2025-06-17 22:00:00,104310.9,104274.07566,104347.72434,0.003445113198050097,0.004167248494923115,1.20961148599754,0.00636439344437322,LONG,7.060497033387601
2025-06-17 23:00:00,104604.7655,104572.81177345,104636.71922654999,0.003156804743965475,0.004228985868394375,1.339641254809463,0.007043346161495801,LONG,6.109420808366429
2025-06-18 00:00:00,104865.576,104832.3633174,104898.7886826,0.0030290977718823954,0.0041942838579416275,1.3846644030031232,0.004098155150908098,LONG,6.334334653347123
2025-06-18 01:00:00,104822.835,104787.16054150001,104858.50945850002,0.0030311446652887515,0.00412071542814374,1.3594585158973909,0.0010644327829017303,LONG,6.806619664503471
2025-06-18 02:00:00,104932.9125,104903.52870875,104962.29629125001,0.0029460458780570875,0.004025052767246962,1.3662559694764418,0.0050350301225727525,LONG,5.600490932718538
2025-06-18 03:00:00,105221.005,105191.5939245,105250.41607550002,0.003023844554440744,0.004037341568619013,1.335168358006324,0.005666932693972633,LONG,5.590343011834986
2025-06-18 04:00:00,105449.175,105421.5842825,105476.7657175,0.0030713555123188093,0.004020305350422859,1.3089677617253799,0.010853220502738225,LONG,5.2329887834590645
2025-06-18 05:00:00,105438.35,105416.811965,105459.888035,0.0030638142541354603,0.003953584469854832,1.290412584417734,0.007937312055134784,LONG,4.085427171422974
2025-06-18 06:00:00,105016.575,104973.4284425,105059.72155749999,0.0031113094503206575,0.004112124443054199,1.3216700263068966,0.0014388934488527528,LONG,8.21709477765773
2025-06-18 07:00:00,104997.595,104970.9587405,105024.2312595,0.0031098698757641347,0.004055939614772797,1.304215216971482,0.001665805759828967,LONG,5.073689449744024
2025-06-18 08:00:00,104981.44,104944.16535600001,105018.71464399999,0.0030876518171028752,0.004128055647015572,1.3369563317177715,0.0004623552442844175,LONG,7.101187409888824
2025-06-18 09:00:00,104755.8,104716.31527,104795.28473,0.0030399532705525025,0.004203556105494499,1.3827699742011217,-0.0044310204753372,SHORT,7.5384331941524
2025-06-18 10:00:00,104315.525,104275.43619749999,104355.6138025,0.003115371045938146,0.004216485656797886,1.3534457355554437,-0.01080888287867416,SHORT,7.686066383695084
2025-06-18 11:00:00,104868.267,104825.96847330002,104910.5655267,0.003297861265130739,0.0042682974599301815,1.2942622860034019,-0.005421459433520062,SHORT,8.066983065525406
2025-06-18 12:00:00,104543.321,104511.9005429,104574.74145710001,0.0033445580795818737,0.004179648123681545,1.249686213912025,-0.004516654317657041,SHORT,6.01099272520728
2025-06-18 13:00:00,104471.75,104429.534325,104513.96567500001,0.0033363673430915914,0.00425570597872138,1.2755507835590725,-0.005020745203737986,SHORT,8.08173980047233
2025-06-18 14:00:00,104676.22,104609.716178,104742.72382200001,0.0031958899515999485,0.004466245416551828,1.3974966235354587,-0.0029116056682484542,SHORT,12.7065769092541
2025-06-18 15:00:00,104841.54,104786.87664599999,104896.203354,0.002993098490103231,0.004286076873540878,1.431986581033975,0.0008181401995131792,LONG,10.427804475210763
2025-06-18 16:00:00,104478.0655,104438.15314344999,104517.97785654999,0.0028203685041047776,0.0041442676447331905,1.469406440577394,0.001556949448928801,LONG,7.6403322283948425
